China,Romania
17,0
18,0
26,0
42,0
56,0
82,0
131,0
133,0
171,0
213,0
259,0
361,0
425,0
491,0
563,0
633,0
718,0
805,0
905,0
1012,0
1112,0
1117,0
1369,0
1521,0
1663,0
1766,0
1864,0
2003,0
2116,0
2238,0
2238,0
2443,0
2445,0
2595,0
2665,0
2717,0
2746,0
2790,0
2837,0
2872,0
2914,0
2947,0
2983,0
3015,0
3044,0
3072,0
3100,0
3123,0
3139,0
3161,0
3172,0
3180,0
3193,0
3203,0
3217,0
3230,0
3241,0
3249,0
3253,0
3259,0
3274,3
3274,7
3281,11
3285,17
3291,23
3296,26
3299,37
3304,43
3308,65
3309,82
3316,92
3322,115
3326,133
3330,146
3333,151
3335,176
3335,197
3337,220
3339,248
3340,270
,291
